Alabama	2.985
Alaska	3.715
Arizona	3.624
Arkansas	2.921
California	4.660
Colorado	3.312
Connecticut	3.494
Delaware	3.254
Florida	3.211
Georgia	3.095
Hawaii	4.325
Idaho	3.568
Illinois	3.357
Indiana	3.041
Iowa	3.033
Kansas	2.964
Kentucky	2.932
Louisiana	3.033
Maine	3.416
Maryland	3.271
Massachusetts	3.381
Michigan	3.091
Minnesota	3.080
Mississippi	2.935
Missouri	2.917
Montana	3.382
Nebraska	3.088
Nevada	3.833
New Hampshire	3.282
New Jersey	3.386
New Mexico	3.255
New York	3.486
North Carolina	3.069
North Dakota	3.082
Ohio	2.983
Oklahoma	2.870
Oregon	3.812
Pennsylvania	3.526
Rhode Island	3.370
South Carolina	3.032
South Dakota	3.133
Tennessee	2.987
Texas	2.907
Utah	3.481
Vermont	3.356
Virginia	3.152
Washington	3.881
West Virginia	3.210
Wisconsin	2.989
Wyoming	3.325
